Color	Position	Sample Name	Gene Name	Condition Name	Cq	Cq Mean	Cq Error	Excluded	Sample Type	Sample Type RQ	Gene Type	Condition Type	Replicate Group	Ratio	Ratio Error	Normalized Ratio	Normalized Ratio Error	Scaled Ratio	Scaled Ratio Error	Dye	Edited Call	Failure	Slope	EPF	Notes	Sample Prep Notes	Number
255;132;197;238	A1	01	ROR		22.25	22.27	0.10	Unchecked	Unknown	Unknown	Target	Unknown	A1	1.190E-3	1.341E-4	-	-	-	-	SYBR Green I	 	None	0.37	2.73			1
255;103;103;103	A3	03	ROR		25.00	25.03	0.04	Unchecked	Unknown	Unknown	Target	Unknown	A3	2.399E-4	2.234E-5	-	-	-	-	SYBR Green I	 	None	1.10	4.60			3
255;103;103;103	A4	04	ROR		22.67	22.68	0.13	Unchecked	Unknown	Unknown	Target	Unknown	A4	9.698E-4	1.426E-4	-	-	-	-	SYBR Green I	 	None	0.74	4.21			4
255;103;103;103	A5	05	ROR		-	-	-	Unchecked	Unknown	Unknown	Target	Unknown	A5	0.000E+0	-	-	-	-	-	SYBR Green I	 	None	0.01	0.13			5
255;103;103;103	A6	06	ROR		29.67	29.50	0.16	Unchecked	Unknown	Unknown	Target	Unknown	A6	7.742E-4	1.708E-4	-	-	-	-	SYBR Green I	 	None	1.52	4.99			6
255;103;103;103	A7	10	ROR		29.31	29.68	0.78	Unchecked	Unknown	Unknown	Target	Unknown	A7	1.147E-4	1.124E-6	-	-	-	-	SYBR Green I	 	None	1.60	5.20			7
255;103;103;103	A8	12	ROR		25.00	24.85	0.15	Unchecked	Unknown	Unknown	Target	Unknown	A8	5.325E-4	2.349E-5	-	-	-	-	SYBR Green I	 	None	1.47	5.34			8
255;234;79;79	A11	15	ROR		27.92	27.77	0.14	Unchecked	Unknown	Unknown	Target	Unknown	A11	1.248E-5	0.000E+0	-	-	-	-	SYBR Green I	 	None	1.70	5.33			11
255;66;41;24	A12	16	ROR		25.51	25.55	0.03	Unchecked	Unknown	Unknown	Target	Unknown	A12	2.644E-4	9.071E-6	-	-	-	-	SYBR Green I	 	None	0.96	4.33			12
255;132;197;238	B1	01	ROR		22.38	22.27	0.10	Unchecked	Unknown	Unknown	Target	Unknown	A1	1.087E-3	1.226E-4	-	-	-	-	SYBR Green I	 	None	0.42	2.82			13
255;132;197;238	B3	03	ROR		25.01	25.03	0.04	Unchecked	Unknown	Unknown	Target	Unknown	A3	2.383E-4	2.219E-5	-	-	-	-	SYBR Green I	 	None	1.21	4.85			15
255;132;197;238	B4	04	ROR		22.56	22.68	0.13	Unchecked	Unknown	Unknown	Target	Unknown	A4	1.047E-3	1.539E-4	-	-	-	-	SYBR Green I	 	None	0.89	4.68			16
255;132;197;238	B5	05	ROR		-	-	-	Unchecked	Unknown	Unknown	Target	Unknown	A5	0.000E+0	-	-	-	-	-	SYBR Green I	 	None	0.01	0.13			17
